Employee #,Last Name,First Name,Birthday,Address,Phone Number,SSS #,Philhealth #,TIN,Pag-IBIG #,Status,Position,Immediate Supervisor,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Rate,Hourly Rate
10001,Garcia,Manuel,30630,N/A,N/A,44-4506057-3,820126853951,442-605-657-000,691295330870,N/A,N/A,N/A,90000,0,0,0,0,536
10002,Lim,Antonio,06/19/1988,N/A,N/A,52-2061274-9,331735646338,683-102-776-000,663904995411,N/A,N/A,N/A,60000,0,0,0,0,357
10003,Sofia Aquino,Bianca,32606,N/A,N/A,30-8870406-2,177451189665,971-711-280-000,171519773969,N/A,N/A,N/A,60000,0,0,0,0,357
10004,Reyes,Isabella,06/16/1994,N/A,N/A,40-2511815-0,341911411254,876-809-437-000,416946776041,N/A,N/A,N/A,60000,0,0,0,0,357
10005,Hernandez,Eduard,09/23/1989,N/A,N/A,50-5577638-1,957436191812,031-702-374-000,952347222457,N/A,N/A,N/A,52670,0,0,0,0,314
10006,Mae Villanueva,Andrea,02/14/1988,N/A,N/A,49-1632020-8,382189453145,317-674-022-000,441093369646,N/A,N/A,N/A,52670,0,0,0,0,314
10007,San Jose,Brad,03/15/1996,N/A,N/A,40-2400714-1,239192926939,672-474-690-000,210850209964,N/A,N/A,N/A,42975,0,0,0,0,256
10008,Romualdez,Alice,05/14/1992,N/A,N/A,55-4476527-2,545652640232,888-572-294-000,211385556888,N/A,N/A,N/A,22500,0,0,0,0,134
10009,Atienza,Rosie,09/24/1948,N/A,N/A,41-0644692-3,708988234853,604-997-793-000,260107732354,N/A,N/A,N/A,22500,0,0,0,0,134
10010,Alvaro,Roderick,03/30/1988,N/A,N/A,64-7605054-4,578114853194,525-420-419-000,799254095212,N/A,N/A,N/A,52670,0,0,0,0,314
10011,Salcedo,Anthony,09/14/1993,N/A,N/A,26-9647608-3,126445315651,210-805-911-000,218002473454,N/A,N/A,N/A,50825,0,0,0,0,303
10012,Lopez,Josie,01/14/1987,N/A,N/A,44-8563448-3,431709011012,218-489-737-000,113071293354,N/A,N/A,N/A,38475,0,0,0,0,229
10013,Farala,Martha,15646,N/A,N/A,45-5656375-0,233693897247,210-835-851-000,631130283546,N/A,N/A,N/A,24000,0,0,0,0,143
10014,Martinez,Leila,25879,N/A,N/A,27-2090996-4,515741057496,275-792-513-000,101205445886,N/A,N/A,N/A,24000,0,0,0,0,143
10015,Romualdez,Fredrick,31323,N/A,N/A,26-8768374-1,308366860059,598-065-761-000,223057707853,N/A,N/A,N/A,53500,0,0,0,0,318
10016,Mata,Christian,10/21/1987,N/A,N/A,49-2959312-6,824187961962,103-100-522-000,631052853464,N/A,N/A,N/A,42975,0,0,0,0,256
10017,De Leon,Selena,02/20/1975,N/A,N/A,27-2090208-8,587272469938,482-259-498-000,719007608464,N/A,N/A,N/A,41850,0,0,0,0,249
10018,San Jose,Allison,06/24/1986,N/A,N/A,45-3251383-0,745148459521,121-203-336-000,114901859343,N/A,N/A,N/A,22500,0,0,0,0,134
10019,Rosario,Cydney,35226,N/A,N/A,49-1629900-2,579253435499,122-244-511-000,265104358643,N/A,N/A,N/A,22500,0,0,0,0,134
10020,Bautista,Mark,33574,N/A,N/A,49-1647342-5,399665157135,273-970-941-000,260054585575,N/A,N/A,N/A,23250,0,0,0,0,138
10021,Lazaro,Darlene,11/25/1985,N/A,N/A,45-5617168-2,606386917510,354-650-951-000,104907708845,N/A,N/A,N/A,23250,0,0,0,0,138
